BSSID	 First time seen	 Last time seen	 channel	 Speed	 Privacy	 Cipher	 Authentication	 Power	 # beacons	 # IV	 LAN IP	 ID-length	 ESSID	 Key
7C:0E:CE:A0:A1:70	 2025-02-19 08:03:20	 2025-02-19 08:04:00	1	130	 WPA2 WPA	 CCMP TKIP	 MGT	-63	14	86	   0.  0.  0.  0	11	 Wi-Fi_UniNa	 
7C:0E:CE:A0:A1:71	 2025-02-19 08:03:20	 2025-02-19 08:04:00	1	130	 WPA2 WPA	 CCMP TKIP	 MGT	-64	17	0	   0.  0.  0.  0	7	 eduroam	 
7C:0E:CE:A0:A1:73	 2025-02-19 08:03:20	 2025-02-19 08:04:00	1	130	 WPA2 WPA	 CCMP TKIP	 PSK	-64	15	0	   0.  0.  0.  0	1	 	 
7C:0E:CE:A0:A1:74	 2025-02-19 08:03:20	 2025-02-19 08:04:00	1	130	 WPA2 WPA	 CCMP TKIP	 PSK	-63	15	0	   0.  0.  0.  0	8	 ITTC2025	 
2A:73:CF:03:1F:E8	 2025-02-19 08:03:21	 2025-02-19 08:04:06	6	65	 WPA2	 CCMP	 PSK	-54	76	350	   0.  0.  0.  0	15	 Galaxy A30sC62F	 
7C:0E:CE:A0:8B:A0	 2025-02-19 08:03:25	 2025-02-19 08:04:05	11	130	 WPA2 WPA	 CCMP TKIP	 MGT	-65	13	59	   0.  0.  0.  0	11	 Wi-Fi_UniNa	 
7C:0E:CE:A0:8B:A4	 2025-02-19 08:03:25	 2025-02-19 08:04:05	11	130	 WPA2 WPA	 CCMP TKIP	 PSK	-62	8	0	   0.  0.  0.  0	8	 ITTC2025	 
7C:0E:CE:A0:8B:A1	 2025-02-19 08:03:26	 2025-02-19 08:04:05	11	130	 WPA2 WPA	 CCMP TKIP	 MGT	-64	9	0	   0.  0.  0.  0	7	 eduroam	 
7C:0E:CE:A0:8B:A3	 2025-02-19 08:03:26	 2025-02-19 08:04:05	11	130	 WPA2 WPA	 CCMP TKIP	 PSK	-74	9	0	   0.  0.  0.  0	1	 	 
00:25:00:FF:94:73	 2025-02-19 08:03:26	 2025-02-19 08:03:26	-1	-1	 	 	   	-1	0	0	   0.  0.  0.  0	0	 	 
7C:0E:CE:F0:B6:04	 2025-02-19 08:03:32	 2025-02-19 08:03:32	11	130	 WPA2 WPA	 CCMP TKIP	 PSK	-85	0	0	   0.  0.  0.  0	8	 ITTC2025	 
7C:0E:CE:F0:B6:01	 2025-02-19 08:03:32	 2025-02-19 08:03:32	11	130	 WPA2 WPA	 CCMP TKIP	 MGT	-82	0	0	   0.  0.  0.  0	7	 eduroam	 
7C:0E:CE:B7:7B:C4	 2025-02-19 08:03:33	 2025-02-19 08:04:00	1	195	 WPA2 WPA	 CCMP TKIP	 PSK	-81	0	0	   0.  0.  0.  0	8	 ITTC2025	 
7C:0E:CE:B7:7B:C1	 2025-02-19 08:03:33	 2025-02-19 08:03:33	1	195	 WPA2 WPA	 CCMP TKIP	 MGT	-82	0	0	   0.  0.  0.  0	7	 eduroam	 
7C:0E:CE:B7:7B:C0	 2025-02-19 08:03:34	 2025-02-19 08:03:34	1	195	 WPA2 WPA	 CCMP TKIP	 MGT	-82	1	0	   0.  0.  0.  0	11	 Wi-Fi_UniNa	 
6E:CC:2C:6B:8E:06	 2025-02-19 08:03:47	 2025-02-19 08:03:53	1	360	 WPA2	 CCMP	 PSK	-85	2	0	   0.  0.  0.  0	21	 Redmi Note 11 Pro+ 5G	 
														
Station MAC	 First time seen	 Last time seen	 Power	 # packets	 BSSID	 Probed ESSIDs								
4C:03:4F:8F:06:C9	 2025-02-19 08:03:20	 2025-02-19 08:04:00	-63	8	 7C:0E:CE:A0:A1:70									
22:61:F0:41:D5:A3	 2025-02-19 08:03:20	 2025-02-19 08:03:35	-65	102	 7C:0E:CE:A0:A1:70	Wi-Fi_UniNa								
5A:74:A8:53:A9:E8	 2025-02-19 08:03:22	 2025-02-19 08:03:22	-47	6	 (not associated) 									
AA:BD:8C:1B:CF:A6	 2025-02-19 08:03:22	 2025-02-19 08:03:29	-62	31	 7C:0E:CE:A0:A1:70	Wi-Fi_UniNa								
64:6C:80:59:48:D9	 2025-02-19 08:03:26	 2025-02-19 08:04:06	-1	340	 2A:73:CF:03:1F:E8									
06:27:12:68:5B:9E	 2025-02-19 08:03:26	 2025-02-19 08:03:26	-70	2	 00:25:00:FF:94:73									
E2:16:43:B7:A7:AF	 2025-02-19 08:03:26	 2025-02-19 08:03:26	-71	2	 00:25:00:FF:94:73									
22:E3:F7:FC:CA:E3	 2025-02-19 08:03:32	 2025-02-19 08:03:32	-56	1	 (not associated) 									
38:68:93:ED:BB:EC	 2025-02-19 08:03:32	 2025-02-19 08:03:52	-53	8	 (not associated) 									
FA:9D:6D:04:01:7D	 2025-02-19 08:03:32	 2025-02-19 08:03:32	-53	1	 (not associated) 									
0E:73:30:08:75:07	 2025-02-19 08:03:32	 2025-02-19 08:03:32	-64	1	 (not associated) 	TIM-30259339								
16:3E:F4:A9:1A:FB	 2025-02-19 08:03:34	 2025-02-19 08:03:34	-80	1	 (not associated) 									
3E:47:46:18:42:0B	 2025-02-19 08:03:35	 2025-02-19 08:03:35	-57	2	 (not associated) 									
EE:30:69:13:94:91	 2025-02-19 08:03:36	 2025-02-19 08:03:36	-77	1	 (not associated) 									
9E:B3:44:37:A8:F7	 2025-02-19 08:03:37	 2025-02-19 08:03:37	-43	1	 (not associated) 									
36:6D:07:64:AF:1F	 2025-02-19 08:03:37	 2025-02-19 08:03:37	-52	2	 (not associated) 									
A2:5D:19:38:27:79	 2025-02-19 08:03:41	 2025-02-19 08:03:42	-78	4	 (not associated) 	TIM-30259339	TIM-62239277							
6E:82:46:38:16:39	 2025-02-19 08:03:43	 2025-02-19 08:03:43	-69	3	 (not associated) 	Wi-Fi_UniNa								
3C:58:C2:EA:44:08	 2025-02-19 08:03:45	 2025-02-19 08:03:59	-1	59	 7C:0E:CE:A0:8B:A0									
5E:40:65:82:FD:01	 2025-02-19 08:03:46	 2025-02-19 08:03:46	-74	1	 (not associated) 									
5E:2D:E8:EC:EE:47	 2025-02-19 08:03:49	 2025-02-19 08:03:49	-77	1	 (not associated) 									
E2:11:0B:00:D1:72	 2025-02-19 08:03:50	 2025-02-19 08:03:50	-76	1	 (not associated) 									
36:F7:9D:C6:3A:76	 2025-02-19 08:03:52	 2025-02-19 08:03:52	-71	2	 (not associated) 									
